,Rank,Previous,School,Conference,Record,Road,Neutral,Home,Quad 1,Quad 2,Quad 3,Quad 4
0,1,1,Houston,AAC,33-4,11-0,6-2,16-2,8-3,8-0,7-1,10-0
1,2,2,Alabama,SEC,31-6,9-3,7-3,15-0,13-6,7-0,7-0,4-0
2,3,8,UConn,Big East,31-8,6-5,10-1,15-2,12-7,8-0,5-1,6-0
3,4,3,UCLA,Pac-12,31-6,9-2,5-4,17-0,7-6,9-0,8-0,7-0
4,5,4,Tennessee,SEC,25-11,4-6,7-3,14-2,7-8,5-3,7-0,6-0
5,6,5,Purdue,Big Ten,29-6,8-3,7-1,14-2,12-3,7-2,5-0,5-1
6,7,7,Texas,Big 12,29-9,4-6,8-2,17-1,16-9,4-0,2-0,7-0
7,8,6,Gonzaga,WCC,30-6,7-2,9-3,14-1,8-5,5-0,9-1,8-0
8,9,9,Kansas,Big 12,28-8,7-4,6-3,15-1,16-8,6-0,2-0,4-0
9,10,10,Arizona,Pac-12,28-7,6-4,7-1,15-2,8-2,7-4,6-1,7-0
10,11,11,Saint Mary's (CA),WCC,26-8,6-2,5-4,15-2,3-4,7-2,11-2,5-0
11,12,12,Marquette,Big East,29-7,9-4,4-2,16-1,9-5,6-2,8-0,6-0
12,13,13,Fla. Atlantic,C-USA,33-4,11-3,7-1,15-0,7-2,2-2,11-0,13-0
13,14,17,Creighton,Big East,24-13,5-6,6-5,13-2,6-10,8-2,6-1,4-0
14,15,14,San Diego St.,Mountain West,31-7,8-2,9-4,14-1,8-6,8-1,13-0,2-0
15,16,16,Duke,ACC,27-9,4-6,7-3,16-0,7-8,7-1,3-0,10-0
16,17,15,Baylor,Big 12,23-11,5-5,4-3,14-3,11-11,4-0,1-0,7-0
17,18,22,Xavier,Big East,27-10,7-4,5-4,15-2,10-6,5-3,6-1,6-0
18,19,24,Kansas St.,Big 12,26-10,4-7,6-2,16-1,11-9,4-1,4-0,7-0
19,20,21,Arkansas,SEC,22-14,2-8,6-3,14-3,6-11,3-2,10-1,3-0
20,21,35,Miami (FL),ACC,29-8,7-4,6-3,16-1,9-6,7-0,6-1,7-1
21,22,23,Memphis,AAC,26-9,7-5,6-2,13-2,4-5,9-3,7-1,6-0
22,23,18,Utah St.,Mountain West,25-9,6-4,6-3,13-2,1-6,9-1,14-0,1-2
23,24,25,West Virginia,Big 12,19-15,3-8,3-3,13-4,6-14,6-1,1-0,6-0
24,25,20,Iowa St.,Big 12,19-14,3-8,3-3,13-3,10-11,2-3,1-0,6-0
25,26,26,Kentucky,SEC,22-12,6-4,2-4,14-4,6-8,7-1,3-2,6-1
26,27,28,TCU,Big 12,22-13,3-7,6-2,13-4,8-12,6-0,0-0,8-1
27,28,19,Texas A&M,SEC,25-10,7-4,3-5,15-1,7-7,5-1,6-0,7-2
28,29,27,Virginia,ACC,25-8,6-5,4-2,15-1,5-6,7-1,4-1,9-0
29,30,38,North Texas,C-USA,29-7,10-3,7-2,12-2,3-4,5-1,11-1,10-1
30,31,30,Indiana,Big Ten,23-12,5-7,3-3,15-2,6-10,8-2,3-0,6-0
31,32,31,Maryland,Big Ten,22-13,2-9,4-3,16-1,3-12,8-1,2-0,9-0
32,33,33,Michigan St.,Big Ten,21-13,5-7,4-4,12-2,6-11,9-1,2-1,4-0
33,34,29,Boise St.,Mountain West,23-10,6-6,4-3,13-1,3-6,9-3,6-0,5-1
34,35,32,Auburn,SEC,21-13,4-8,3-3,14-2,4-11,6-1,8-1,3-0
35,36,34,Illinois,Big Ten,20-13,3-7,2-4,15-2,3-11,7-2,3-0,7-0
36,37,41,Northwestern,Big Ten,22-12,7-4,2-3,13-5,8-7,5-5,2-0,7-0
37,38,39,Iowa,Big Ten,19-14,4-7,1-4,14-3,4-10,9-2,1-1,5-1
38,39,57,UAB,C-USA,28-10,7-5,5-3,16-2,2-6,3-2,11-1,12-1
39,40,40,Rutgers,Big Ten,19-15,4-7,1-2,14-6,4-7,6-4,2-4,7-0
